root,BaseCategory,Keywords,CandidateKeywords
cornmint,mint,mentha arvensis|mint di mais|mine de mais|maiz,mentha arvensi|mint di mai|mints dis mais|menthas arvensis|maizzes|maiz|cornmint|mentha arvensis|cornmints|ours des mais|mint di mais|mine de mais
cornstarch,cornstarch,cornstarch,cornstarches|cornstarch
corriander,corriander,corriander,corriander|corrianders
cotija,cotija,cotija,cotija|cotijas
cotija cheese,cheese,cotija cheese,cotija cheese|cotijas cheeses|cotija cheeses
cottage cheese,cheese,cottage cheese|cheese cottage,cottages cheeses|cheeses cottages|cottage cheese|cheese cottages|cheese cottage|cottage cheeses
cottage cheese,cottage cheese,1 fat cottage cheese|requeson|fromage blanc|fiocchi di latte|2 fat cottage cheese|cottage cheese,1 fats cottages cheeses|1 fat cottage cheese|requeson|2 fat cottage cheeses|fromage blanc|fiocchi di latte|2 fat cottage cheese|cottages cheeses|fromage blancs|cottage cheese|fiocchis dis lattes|requesons|2 fats cottages cheeses|fromages blancs|cottage cheeses|1 fat cottage cheeses|fiocchi di lattes
cottonseed,cottonseed,gossypium|semi di cotone|cottonseed|algodon|coton,cotons|gossypium|gossypiums|semi di cotone|cottonseed|algodon|semis dis cotones|cottonseeds|semi di cotones|algodons|coton
cottonseed oil,oil,aceite de algodon|huile en coton,cottonseed oil|cottonseed oils|aceites des algodons|huile en cotons|huiles ens cotons|cottonseeds oils|aceite de algodon|huile en coton
country bread,bread,country bread,countries breads|country breads|country bread
country crock spread,country crock spread,country crock spread,countries crocks spreads|country crock spreads|country crock spread
country ham,ham,country ham,country ham|country hams|countries hams
country style bread,bread,country style bread,country style bread|country style breads|countries styles breads
country style dijon mustard,mustard,,country style dijon mustards|country style dijon mustard|countries styles dijons mustards
country style pork rib,pork,,country style pork rib|country style pork ribs|countries styles porks ribs
country white bread,bread,country white bread,country white bread|countries whites breads|country white breads
courgette,courgette,courgettes|courgette,courgettes|courgette
couscous,couscous,couscous,couscous|couscou
cow cheese,cheese,laughing cow cheese,laughing cow cheese|laughing cow cheeses|cow cheeses|cows cheeses|cow cheese|laughings cows cheeses
"cow milk, pasteurized, vitamin a + d added, 0% fat",milk,,"cow milk, pasteurized, vitamin a + d added, 0% fat|cows milk,s pasteurized,s vitamins a + d added,s 0% fats|cows milks pasteurizeds vitamins a d addeds 0 fats|cow milk pasteurized vitamin a d added 0 fat|cow milk, pasteurized, vitamins a + d added, 0% fat|cow milk pasteurized vitamins a d added 0 fat"
"cow milk, pasteurized, vitamin a + d added, 1% fat",milk,,"cow milk, pasteurized, vitamin a + d added, 1% fat|cow milk pasteurized vitamins a d added 1 fat|cow milk pasteurized vitamin a d added 1 fat|cows milk,s pasteurized,s vitamins a + d added,s 1% fats|cow milk, pasteurized, vitamins a + d added, 1% fat|cows milks pasteurizeds vitamins a d addeds 1 fats"
"cow milk, pasteurized, vitamin a + d added, 2% fat",milk,,"cow milk, pasteurized, vitamins a + d added, 2% fat|cows milks pasteurizeds vitamins a d addeds 2 fats|cow milk pasteurized vitamin a d added 2 fat|cow milk, pasteurized, vitamin a + d added, 2% fat|cows milk,s pasteurized,s vitamins a + d added,s 2% fats|cow milk pasteurized vitamins a d added 2 fat"
"cow milk, pasteurized, vitamin d added, 3.25% fat",milk,,"cows milk,s pasteurized,s vitamins d added,s 3.25% fats|cow milk pasteurized vitamin d added 3.25 fat|cow milk, pasteurized, vitamin d added, 3.25% fats|cow milk pasteurized vitamin d added 3.25 fats|cows milks pasteurizeds vitamins d addeds 3.25 fats|cow milk, pasteurized, vitamin d added, 3.25% fat"
cowpea,cowpea,caupi|niebe|cowpea|vigna unguiculata,cowpeas|vigna unguiculata|caupis|vignas unguiculatas|vigna unguiculatas|caupi|cowpea|niebe|niebes
crab,crab,crabe|brachyura|crab|granchio|cangrejo,crabe|brachyura|cangrejoes|crabs|crabes|brachyuras|granchios|crab|granchio|cangrejo
crab boil,crab,crab boil,crab boil|crab boils|crabs boils
crabmeat,crabmeat,crabmeat,crabmeat|crabmeats
cracker,cracker,cracker|crackers,cracker|crackers
cracker crumb,cracker,cracker crumb,cracker crumbs|cracker crumb|crackers crumbs
crackers,cracker,crackers,cracker|crackers
craisin,craisin,craisins,craisin|craisins
cranberry,cranberry,cranberry|cranberries,cranberry|cranberries
cranberry bean,bean,cranberry bean|cranberry beans,cranberry bean|cranberries beans|cranberry beans
crawfish,crawfish,crawfish,crawfish
crayfish,crayfish,cangrejo de rio|gambero|crayfish|astacidea|ecrevisse,cangrejoes des rios|ecrevisse|ecrevisses|cangrejo de rio|gambero|astacideas|crayfish|astacidea|gamberoes
cream,cream,crema|cream|creme,crema|cremas|creams|cremes|cream|creme
creamy peanut butter,butter,creamy peanut butter,creamy peanut butter|creamies peanuts butter
crema,crema,crema,cremas|crema
crema mexican,crema mexican,crema mexican,crema mexicans|cremas mexicans|crema mexican
crema mexicana,crema mexicana,crema mexicana,crema mexicana|crema mexicanas|cremas mexicanas
creme,marshmallow,marshmallow creme,marshmallow cremes|marshmallow creme|marshmallows cremes|cremes|creme
creme anglaise,creme anglaise,creme anglaise,cremes anglaises|creme anglaise|creme anglaises
creme de banane,creme de banane,creme de banane,creme de banane|cremes des bananes
creme de cacao,creme de cacao,creme de cacao,creme de cacao|cremes des cacaos
creme de cassis,creme de cassis,creme de cassis,cremes des cassis|creme de cassis
creme de menthe,creme de menthe,creme de menthe,cremes des menthes|creme de menthe
creme fraiche,creme fraiche,creme fraiche,cremes fraiches|creme fraiches|creme fraiche
cremini mushroom,mushroom,cremini mushrooms|cremini mushroom,cremini mushrooms|creminis mushrooms|cremini mushroom
cremini mushrooms,cremini mushroom,cremini mushrooms,cremini mushrooms|creminis mushrooms|cremini mushroom
creole,creole,creole,creoles|creole
creole mustard,mustard,creole mustard,creoles mustards|creole mustard|creole mustards
creole seasoning,creole seasoning,creole seasoning,creole seasoning|creole seasonings|creoles seasonings
creosote,creosote,creosote,creosote|creosotes
crepe,crepe,crepes|crepe,crepes|crepe
crescent roll,roll,crescent roll|crescent rolls,crescents rolls|crescent roll|crescent rolls
crescent roll dough,roll,crescent roll dough,crescent roll doughs|crescent roll dough|crescents rolls doughs
cress,cress,cress,cress|cres
crimini mushroom,mushroom,crimini mushrooms|crimini mushroom,criminis mushrooms|crimini mushrooms|crimini mushroom
crimini mushrooms,crimini mushroom,crimini mushrooms,criminis mushrooms|crimini mushrooms|crimini mushroom
crisco,shortening,crisco shortening,crisco shortenings|crisco|criscoes|criscoes shortenings|crisco shortening
crisco,crisco,crisco,criscoes|crisco
crisco oil,oil,crisco oil,crisco oil|criscoes oils|crisco oils
crisp,crisp,crisp|crisps,crisp|crisps
crisp bacon,bacon,crisp bacon,crisp bacon|crisp bacons|crisps bacons
crispbread,crispbread,crispbread,crispbread|crispbreads
crispix cereal,cereal,crispix cereal,crispixes cereals|crispix cereals|crispix cereal
crispy rice cereal,rice,crispy rice cereal,crispies rices cereals|crispy rice cereal|crispy rice cereals
crme de cassis,crme de cassis,crme de cassis,crme de cassis|crmes des cassis
crme frache,crme frache,crme frache,crmes fraches|crme frache|crme fraches
croaker,croaker,croaker,croakers|croaker
croaker atlantic,croaker atlantic,croaker atlantic,croaker atlantics|croakers atlantics|croaker atlantic
croaker spot,croaker spot,croaker spot,croaker spots|croakers spots|croaker spot
croissant,croissant,croissant|croissants,croissant|croissants
crookneck yellow,squash,crookneck yellow squash,crookneck yellow squash|crookneck yellow squashes|crooknecks yellows squashes|crooknecks yellows|crookneck yellows|crookneck yellow
crosne,crosne,stachys affinis|crosne,stachys affini|crosne|crosnes|stachys affinis
crostini,crostini,crostini,crostini|crostinis
crouton,crouton,crouton|croutons,crouton|croutons
croutons,crouton,croutons,crouton|croutons
crowberry black,crowberry black,crowberry black|black crowberry,black crowberries|crowberry blacks|crowberry black|black crowberry|blacks crowberries|crowberries blacks
cru00e8me frau00eeche,cru00e8me frau00eeche,cru00e8me frau00eeche,cru00e8me frau00eeche|cru00e8mes frau00eeches|cru00e8me frau00eeches
crumble,crumble,crumble|crumbles,crumble|crumbles
crunchy peanut butter,butter,crunchy peanut butter,crunchies peanuts butter|crunchy peanut butter
crust,crust,crust,crusts|crust
crusty bread,bread,crusty bread,crusty bread|crusty breads|crusties breads
crusty roll,roll,crusty rolls|crusty roll,crusties rolls|crusty roll|crusty rolls
crystal sugar,sugar,colored crystal sugar,crystal sugar|colored crystal sugars|crystals sugars|coloreds crystals sugars|colored crystal sugar|crystal sugars
crystallized ginger,ginger,crystallized ginger,crystallized ginger|crystallizeds gingers|crystallized gingers
cuban pepper,pepper,cuban peppers|cuban pepper,cubans peppers|cuban pepper|cuban peppers
cubanelle pepper,pepper,poivre de cubanelle|cubanelle pepe|pimienta de cubanelle,cubanelle pepper|cubanelles pepes|cubanelle pepe|poivre de cubanelle|cubanelle peppers|poivres des cubanelles|pimienta de cubanelle|pimientas des cubanelles|cubanelles peppers|cubanelle pepes
cucumber,cucumber,pepino|cucumber|concombre|seedless cucumber|english cucumber|cucumis sativus|pickling cucumbers|pickle cucumber|cetriolo|cucumbers,pepino|picklings cucumbers|pickle cucumbers|english cucumber|cucumis sativus|cucumis sativu|cetrioloes|seedless cucumbers|pickle cucumber|pickles cucumbers|englishes cucumbers|cucumber|english cucumbers|cucumbers|concombre|seedless cucumber|pickling cucumbers|pickling cucumber|pepinoes|concombres|cetriolo
cucumber sweet,cucumber,pepino|cucumber sweet,pepino|cucumbers sweets|pepinoes|cucumber sweets|cucumber sweet
cucurbita,cucurbita,cucurbita,cucurbitas|cucurbita
cumin,cumin,jeera|cumino|comino|cumin|cuminum cyminum,comino|cumino|cuminums cyminums|jeera|cuminoes|cumin|cuminum cyminum|cuminum cyminums|cumins|cominoes|jeeras
cuminseed,cuminseed,cuminseed,cuminseed|cuminseeds
cupcakes,cupcake,cupcakes,cupcakes|cupcake
cupua√ßu,cupua√ßu,cupuau|theobroma grandiflorum,cupuaus|cupua√ßu|cupua√ßus|cupuau|theobroma grandiflorum|theobromas grandiflorums|cupuaßu|cupuaßus|theobroma grandiflorums
curd,curd,curds|curd,curds|curd
curd,yogurt,yoghurt|yogurt|curd,yoghurt|curd|yogurt|yoghurts|yogurts|curds
curly endive,endive,curly endive,curly endive|curly endives|curlies endives
curly kale,kale,curly kale,curly kales|curly kale|curlies kales
curly parsley,parsley,curly parsley,curlies parsleys|curly parsley|curly parsleys
currant,currant,currants|currant,currant|currants
currant black,currant,black currant|currant black,currant blacks|black currants|blacks currants|currant black|black currant|currants blacks
currant buffalo,currant,buffalo currant|currant buffalo,currants buffaloes|currant buffalo|currant buffaloes|buffalo currant|buffalo currants|buffaloes currants
currant jelly,currant,currant jelly,currant jellies|currants jellies|currant jelly
currant red,currant,red currant|currant red,red currants|red currant|reds currants|currants reds|currant red|currant reds
currant white,currant,white currant|currant white,currant whites|currants whites|currant white|white currants|whites currants|white currant
curry,curry,curry,curry|curries
curry leaf,curry,curry leaf,curry leaves|curries leaves|curry leaf
curry powder,curry,polvo de curry|poudre de curry|curry in polvere|curry powder,curry powder|curry powders|polvo de curry|poudres des curries|curries powders|poudre de curry|polvoes des curries|curry in polvere|curries in polveres
curryleaf,curry,curryleaf|curry leaf,curry leaves|curryleaf|curryleaves|curries leaves|curry leaf
cusk,cusk,brosme brosme|cusk|cusque|cuspide,cuspides|brosme brosme|cusks|brosmes brosmes|cusk|cusque|cuspide|cusques|brosme brosmes
custard,custard,sweet custard|custard,sweets custards|custards|sweet custards|sweet custard|custard
custard apple,apple,pomme de creme|annona reticulata|crema pasticcera|chirimoya,crema pasticceras|custard apples|pommes des cremes|custard apple|annonas reticulatas|chirimoyas|cremas pasticceras|annona reticulata|annona reticulatas|custards apples|pomme de creme|crema pasticcera|chirimoya
cutlet,cutlet,cutlet,cutlet|cutlets
cuttlefish,cuttlefish,seppia|sepiidae|seiche|cuttlefish|calamar,calamars|seppia|sepiidae|seiches|seiche|sepiidaes|seppias|cuttlefish|calamar
daal,daal,daal,daal|daals
dabeli masala,masala,dabeli masala,dabeli masala|dabeli masalas|dabelis masalas
dahi,dahi,dahi,dahi|dahis
daikon,daikon,daikon,daikons|daikon
daikon radish,radish,daikon radish|daikon radishes|ravanello daikon|rabano japones|radis daikon,daikon radish|daikon radishes|ravanello daikon|rabanoes japones|rabano japones|daikons radishes|ravanelloes daikons|radis daikons|ravanello daikons|radis daikon|rabano japone
dairy coffee creamer,coffee,,dairy coffee creamers|dairy coffee creamer|dairies coffees creamers
dairy milk,milk,non dairy milk,dairies milks|dairy milks|dairy milk|non dairy milk|non dairy milks|nons dairies milks
dairy topping,topping,,dairies toppings|dairy topping|dairy toppings
dal,dal,dal,dal|dals
dandelion,dandelion,dente di leone|dandelion|taraxacum officinale|diente de leon|pissenlit,dente di leone|dientes des leons|dandelion|pissenlits|taraxacum officinales|dente di leones|taraxacum officinale|dentes dis leones|taraxacums officinales|dandelions|diente de leon|pissenlit
dark beer,beer,dark beer,darks beers|dark beers|dark beer
dark brown sugar,sugar,dark brown sugar,dark brown sugar|dark brown sugars|darks browns sugars
dark chocolate,chocolate,dark chocolate,dark chocolate|darks chocolates|dark chocolates
dark chocolate chip,chocolate chip,dark chocolate chip,dark chocolate chip|dark chocolate chips|darks chocolates chips
dark cocoa,cocoa,dark cocoa,dark cocoas|darks cocoas|dark cocoa
dark corn syrup,corn,dark corn syrup,dark corn syrup|darks corns syrups|dark corn syrups
dark leafy green,green,dark leafy green|dark leafy greens,dark leafy green|darks leafies greens|dark leafy greens
dark molasse,molasses,dark molasse|dark molasses,dark molasse|darks molasses|dark molasses|dark molass
dark muscovado sugar,sugar,dark muscovado sugar,darks muscovadoes sugars|dark muscovado sugar|dark muscovado sugars
dark raisin,dark raisin,dark raisin,darks raisins|dark raisins|dark raisin
dark raisin,raisins,dark raisins,darks raisins|dark raisins|dark raisin
dark rum,rum,dark rum,darks rums|dark rums|dark rum
dark sesame oil,oil,dark sesame oil,darks sesames oils|dark sesame oils|dark sesame oil
dark soy,dark soy,dark soy,darks soys|dark soy|dark soys
dashi,dashi,dashi kombu|dashi,dashis|dashis kombus|dashi kombu|dashi kombus|dashi
dashi kombu,dashi,dashi kombu,dashi kombus|dashi kombu|dashis kombus
date,date,dates|date|data|fecha|phoenix dactylifera,phoenix dactyliferas|dates|datum|date|phoenixes dactyliferas|phoenix dactylifera|data|fecha|fechas
